order_id,products
1882331,24852 47931 27579 18523
1696774,36099 17615 41680
2686576,24852 21800 9387 432 21872
3048274,26309 15399 13712 34224 20084
1141566,4920 43352
3069370,27845
2969880,24964 16185 13263 35168
2726815,15424 26231 43295 29546 9597
1862801,17454 49235 21137 47766 27845 42342
865014,47766 34969 16797 11361 24184
2572142,13225 24852 27292 16797
1379299,45066 1559 22124
1579044,47626 49683 34358 37646 24852 21903 12258
3116687,26882 26988 41406 23405 35759 33793 25810 7505 46541 30251 34355 16096 42895
158824,15124 33819 28842 47793 15925 19660 33231 46416 723 10070 4317 26209 27238 4591 42352 44536 23803 46844 44799
2306683,28476 23765
939128,46906
1242621,40236
82598,13176
1177551,31380
61423,651 6184 39871 8057
1105633,21137 24852 28204
930307,4357 24852 22677 39190 2805
588332,6656 21137 3490 19875
2964001,14233
1971668,6656 8809 19660 9934 28985 13176 38374
1452849,46667 26209 47209 13984 30391 5876 43295 21903 21938 31717
2242945,20995 22035 49175 25138 7801 27845 6347 16589 8412 17652 28934 42265 2846 2344 29487 46906 46969 49075
465851,40910 79 45948
3088338,21454 26706 42347
3037363,8963 43295 20161 48199
2305779,48174 12341
632748,28080
2770483,44422 21543 9018 27325
143045,40002 8277 20600 43654 25890 11100 39275 21903 35221
2481483,19660
2364890,5322 18095 19376
1979817,1194 21709 14947 5876 4472
2193705,21903 40742 29223 6184 4149 12341 6087 39275 30827 8048 38768
1160743,13176
239545,13702 19862 2482 27966 27086 8654 42450 36830 42342 35951 9339 34943
729099,12341
906822,32303 42447 14161 38768 25588 8571 23423
887842,20995 24082 25720 45763 33055 33120
1185710,28204 45633 49236 9839 21137 27845 21267 25890 39216 24964 21903 35221 22935 27548
1237726,24852 26209
572050,31846
1753574,42606 24184 34448 21137 47766 27845 6348 24852 43295 25890 19348 38293 18838 22935
442242,7521 3957 25718
3376600,13829 8710 17949 41540 15950 5212 47209 47761 46747 20127 43726 19678 46820 26856 2295 26369 37646 24852 42265 14633 27966 21903 22935 33754
2557552,24852 2809 1468
2391680,21137 26369 42265 39275 13176 21903 45007
2196307,17429 35221 29370 31040 47943 14924 44632 4957 3957 40571
198531,24852
1281623,25513 49235 8277 1511
1309059,21903 24852 10749
654116,8732 49191 25146 44116 24669 36011 6829 6867 31958 22242 45825 32047 41362 16797
2761369,35921 49236 26800 33572 13176 22935
1918388,14084 42265 25931 42585 27104 33120
3073553,18434 2063 35951 4210 24852 16797 12703 486 33768
1266894,19761
2185735,12807 37022 21174 1463 43961 49241 47209 3957
1676841,38928 49235 32478 18023
1088553,27845
65467,24852 28204 432 35140 1511
2314209,28581 45763 33129
3407461,43154
2372519,8193 41722 6533
2247264,41549
2651333,40174 1321 28985
1990335,43961
668032,6347
2730481,47616 14947 19057 20082 47766 7916 4920 19348
1032696,24838 47626 37646 24852 42265 5708 47209
3355968,43295 30169 35951 13176
1945605,44292 16262 35221 5785 12576 47144 42828 21709 27086 8021 44632
1098067,3585 14467 37158 4421 36550 23644
2890507,1409 8710 16663
2519594,45066 47626 14874 16953 26209 47209 12395 43643 39570 2748 24838 42265 13083 46381 39275 13176 45965 45504 33731 6104
1493300,24852 17706 13113 8277 13176
476412,24852 5450 32153
2151106,21137 16541 47141 4776 28227 42820 24269 13176
293692,34050 27548
836275,12817 24852 37017 28204 39982 16816 10673 35376 32566 43967 5460 41950 13293
1956871,3999 23719 28204 45 34502 4443 5101 35951 36214
68117,9605 49030 21386 17676 26165 17341 12870 35914 21333
3387692,24221 27845 18670 4920
543041,26497 12674
1455788,28296 23819 40354 18104 33852 4674 48071 41805 27612
1490499,47626 24852 11140 48577
1324947,20995 2611 21137 27966 13712 33198
891657,35921 9337 39040 12953 30391 41149 22721 46313 20734 47388 28476 35687 13176 43484 18413
3112323,36258 42562 18523
1241495,8309 21137 25837 36082 24838 19741 13629 13176
1112531,45840 24857 43712 49235 32478
1545001,30233 24852
1267591,24852
606811,24841 22025 21903 21137 1940 24852 31257 18465 36717
1901134,24852 30003 43209 49381
1461409,32864
1036348,47209 13176
1803743,43631 13249
2377342,42360 11182 34234 27360
2080645,21019 27196 19057 20166 47329 41290 33129 13176 42372 1940 34234
599014,47626 26384 20114
587740,23296 33548 47965 38241 7533 44156
877079,23427 24852 14233 26800 31683 9438
1887969,24852
3100473,17948 2078 48679 39984 47209 34458 35547 5876 13083 22825 27966 34126 13176 24964 32134 21903 22935 27104 10749
123641,31964 48527 19348 29615 26604
2104476,20995 21903 24852 47766 48679 37687 30391 43961 18370 27845 45007 8277
3025259,32018 36144 10036 19511 22470 32740 3434
203528,18465 10831 47766 27845 43768 22825 27966 13176 21903 11710 45007
1094091,34050 4793 39527 30440
764108,27522 18552 1695 43693 40261 20298 24920 42719 8047 13176
1386850,28289 17794 32134 43789 32655 21903 22959 18224 30391 24125 45007 48988 27104 21616 3952
728126,13866 35914 2229 24852 29993 5535 30117
1886032,9346 34050 40709 10761 28553 44560 21267 3481 35108 2094 29487 28985 16185 11068 4421 22474 42828 4942 35921 46802 26723 19048 36606 13176 4605 24830
630214,9901 14901 45622 6340 2120 11869 23909 44799
1533834,24852 25108 13524
736391,14979
1470781,45570 27966
2360269,22151 13834 4879 2962 39581 36126 45761 25804 27086 5077 49628 49141
1237146,49683 24852 4942 49235 16249
3128663,26881 13424
2535468,6184 35886 25653 12341 13176
1619858,24964 47626
999537,30850 32700 23909
162228,38662 42265 3999 4920 21616 13176
160588,48205 29848 34668
2914973,47626 22935 25890 43352
153911,43400 18465 33198 11984 605 20598
1530394,22035 5212 47209 29370 48415
1018776,32689
3158092,39604 33909 4605
1788231,47626 6182 2091 28204 18523 26209 11937 1194 35522 46820 28942 24852 11543 14133 21417 22959 45007 23543
2580369,35939
2866997,21137 24852 32665 29987 23986 5575 43087 27104 27000
1629029,5258 21903 17948 27695 1337 9421 40156 27104 7922 13176
1158445,24583 47626 36522 49075 8903 10339 8424 24810 19068 3583
1184388,31396 32837
1261211,45066 41618 2450 432 17224
524582,49683 47144 27845 37646
2742254,20738 47747 24852 23341 23909 29553
39629,24838 11576 5479 13176
2496659,20995 45588 13375 49279 40621 23037 17122 24852 10032 27966 26456 373 32645 40376 12218 19389 30661
2676901,18564 15134 34230 37886
1078531,22935 48171 4920 21077 8174 19057
2278368,11776 5764 37646 39190 36397 38837 37687 5479 18281 5876 13176 10749
3196397,40198 25211
695415,44632 14947 20119 36011
2121710,23430 30630
2904666,47766 30489 21938 30391 19660 46676 41950 26209 31717 5479 32747 21872 13176
1497682,2855 48205
178418,21137 5785 30233 22935 27966 5450 27104
391588,7175 19057 41593 40604 11933 27845 6489 33120 13176
1055153,28204 6343 40174 4920 41844 34214
1176544,36029 11494 7035
1170109,16558
2471966,45066 47626 48657 1582 25146 48205 26209 20114 49340 31423 26321 46844 47366 23322 23909 40939
1994195,36865 1930 24852 36011 28465
2513235,29010 38511
1624388,33000 8571
3020209,21137 42445 13176 29307
3255859,24964 651 29326 17807 47766 22308 44359
2005070,48775 6948 1199 4799 27845 47209
2688906,13176 24964 22935 27104 1516
2170508,38689 1379
2563471,1 29698 8859 34862 48304 40240 18359 3260 22340 4047 30553 14564 18790 47977 36843 43631 21757
2318244,45066 36011 13176
242483,45570 24838 44683 12341 27845
2278226,16797
1272828,35921 24852 16797 38817
362619,39046 37776 36923 38730 31964 47977
1168266,42887 1940 23535
141543,45154 36107 9175
3183367,44422 40199 24489 28156
1797124,196 22802
89381,49191
1423050,27744 24838 26683 42443 39276 43295
1249392,29447 24830 35221 47766 26914 36036 44632 28535 13176
3311636,47209 5876 31933
439205,19057 24852
420520,9387 24852 5782 3512 16607
2754200,24852 28204 35628 39982 25804 11983 5077 23909 31981
2558743,16396 38452 8277 46166 94 47209 28785 21137 5785 8866 26278 14010 27845 43295 28476 27966 5479 13176 10199 37349
1519990,27086 42736
1671355,37646 21903 24852 39928 27966 46676 47209 25837
2791256,21903 21137 19348 24852 30489 17949 34217 24799 47209 19057 40310
2520517,5985 21292 32689 12341 8571
1930805,31651 10326 13176
1502827,38453 49235 5612 27845
1054066,47156
109911,46979 24964 47626 21903 49683 24852 38293 47766 19893 28985 43961 46802 46676
934581,22935 48034 27966 35140 32864 26209 5479 14833
311086,23044 22123 29447 43867
2997340,1541 32133 30727 17419 24852 148 47766 15130 40997 22959 4920 40136 8424 7156 24184
216270,17794 37646 22035 24489 29370 42450 8022 24024 11352 13176 39928 43643
889691,14858 20392 3896 27086 13646 5612 19966
2676926,47626 37646 20114 47766 2966 1313 34380 47209 44142
1146075,17419 32655 5785 24125 42445 5353 16759
3168076,40706 21903 21137 39928 39275 13176
2316252,32403 21573
1199748,47626 44570 47766 24218 11983 40332
2864780,21903 16168 4792 13249 35045
2101491,8277 26209 14947 21137 30949 13560 24852 42265 36695 22908 6532 3464 21938 16363
2898328,5547 30923
2308945,34050 48645 47626 40332 21137 169
551385,8859 22228 21903 22959 19376
2065552,14348 17426 20019 39491 2120 19057 40586 20114 14999 35003 22309 20842 13176 21376 26510 3990 34217 28092 44533
2619795,8744 24184 47766 22695 22186 37072 13544 24852 20378 10151 432 49098
92308,40223
2869963,11520 21903 42265 6347
221995,18443 32478
2364225,11777 45290 43772 24852 6473 36186 6046 32689 42460 4605
1409336,26209 40593 47766 29370 27845 41220 40199 44359 31073 13176 27548
2985179,16797 23383 35951
2510588,27695 36929 49235 46990
2724284,22054 39475 25558 42840 12923
406182,32303 27209 35921 8800 47226 10032 1843 33614 3919 23909 37250 45961 8149
3359540,16797 30633
1382149,32177 13176
113476,18883 47734 4605
172394,21137 47766 25890 10305 6985 17872
1017522,44632 40604 27325 13176 46979 21903 25005 32177 34243 5578 31717
1148846,27985
1389899,9741 47626 13951 19894 17080 6350 2559
383770,7681 42526 48559 5484
1344043,23565 16398 47766 11945 27949 38205 26576
2172762,1689 25466 20378 10673
1635368,44201 13176
624714,27945 1090 34117 2639 3044 48246 44536
3102231,44142 1940 5612
3070543,47616 49683 45633 48720 11440 27845 3855 22312 9534 13176 32717 2014
951592,5385 34111 29615
2270224,41485 40486 47209 38185 9075
3235117,22035 21137 27845 5392
1720960,11266
2279794,25480 9121
1248981,31292 24279 24852 11140 31215
1516872,47766 13031
533523,49235 7781 31960 19173 277 29993 27966 13176 48004 13203 1940 44980 47570 5603
20345,45066 14870 15399 21137 27344 7916 37646 24852 42265 41787 27966 13176 27548 15290
2771992,45596 9508 28199 14778 17982 33894
3118092,6218 46667 26209 26746 5825 43768 26940 39275 6008 17794 45007 27104
1242668,24852 18071 8859
352630,1203 22713 19660 19240 32566 13176 27521 21903
2072510,11520 2086 5450
1237738,15424 20082 21137 41722 30569
121516,7693 48527 12845 32303 49492 39922 24053
1523498,21333
2239739,47766 33198 27845 48967 31343
1970457,23044 22035 47209 4210 13431 21137 27307 30391 4793 28862 41165 40199 21267 42265 47912 35628 3397 8087 35767 46584 13819
2525507,16973 21137 4781 22935 46069 10749
2786948,40706 24852 31640 14874 2846 32689 32864 21614 6383
3032161,8204 15383 33827 22952 34487 46522 39108 2038
2788023,47626 20754 21108
1392421,21288
2491706,24852 39581 41373 16797 43295 21282 16696 16953 24643 8804 40939 44654 31343 4210 9076
2572782,47626 4210 16797
23500,35842 24838 49416 18070 27695 44624 27104 13176
2262783,42244 41618 16308 8277 33000
1052165,9047 25487
2544926,13966 11759 32478
527075,44562 21115 43772 24852
3018942,17122
2933690,5130 47626 10644 47766 47144 4410 41950 39275
1295088,24852 5450 19677
1205372,38689 35887 21267
2784114,42445
2634958,21903 44815 21137 24852 44098 39877 40656 47209
1684278,1194 33198
3381268,24852 32029 38689 14126 26032 40380 9554 11865 13031 35951
1601439,26209 14992 44219 15153 37687 28601 29675
3419249,17461 47209 11408 39589 5876 43789 37646 22825 13176 22935 16797 28079
972886,5876
3288057,42014 42736 44799 44987
2802507,27086 21242
1440533,21137 33081 26317 49235 43352 13032 8571
2128112,13966 4138 28204 43252
2061262,39040 45570 23554 3999 30881 28204 28594 39605 36550 41315 32747 13176 25598
1860851,39877 28199 24852 148 42495
1294240,26900 16797 196 46803 32478 13176
2485297,24852 22935 44142
615968,16589 18765 41716
714005,25861 40403
507309,43044
539759,34691 32033 17316 13870 1848 12481 25547 46692
730226,11365
2219156,45569 38785 48933
1562811,46880 24489 17741 44765
2346992,24852 45679
825152,45066 28204 3169 27239 17600 10479 24852 2356 9018 47435 7028 1940 30645 5069 24037
1217860,28427
39872,7688 40332 20017 32441 49610 6101
797320,42768 4671 39877 49224 24933 13176
644486,24852 47766 8859 1194
1166076,40706 21903 4086 22935 10749
1660241,24852 47766 30233 21288 39877 26209 31717 28008 5876 29307
2578885,12341 34949 21137 22959 49621
2719212,20876 24852 47766 49075 32828 4297 1360
2897298,48845 47977 13176
737811,26683 35168 35951
3377875,25890
2003451,34898
1242569,3957 13176
708051,6774 47766 36011 37646 24852 25890 28156
979711,12572 25890 31915 20015 34358 37067 45007 39928 46969
115809,38241 23106 7533 42450
330006,16387 42612
1003428,11078 38988 19660 3429 41065
796276,12545 14947
2134549,35342 1682 34483 695 16965 9692 40299
173060,21137 24852 35221 22825 31915 30391 13629 27966 44479 24518 22474 45013 19057
1417318,10768 49235 17027 13166 30639
1747737,31618 27845 29447 6348 39475
1094757,9225 18987 32303 7738 3265 28427 27966 28993 21333 3990 5083 1514
1023763,907 22028
3096624,32710 44142
556998,18432 32784 5794 32303 43352 37354 39275 13176 43772 46847
1654614,46087 47626 36397 17461 33845 47196 9839 19057 47766 16560 27845 260 24852 38190 13629 27966 4451 21903 22935 18926 10749
348608,12863 34487 32553 29487 23909 9076 32679
3263101,20580 5785 3765 24852 47912 33198 39877 31720
472089,45066 21903 24852 38293 8986 25890 25146 7485 45007 38383 16759 10749
1477795,21903 49683 39877 46667 19660 41950 47209
1837509,25753 2604
1295547,10279 47569
183244,35458 5771 35221 2717 49191 1831 46676 31964 12919
687724,16797
1257586,28226 44632 35951 37524 12456 39619 38689 14678 13176 21903 33731 45007
1964277,35921 21614 21137 25747 10912 35503 40706 37646 38159 38689 3896 13176 39877 29126 32740 8174
3354422,47258 9122 19660 25171 44261
3299383,20574 42265 21903 38293 432 45007
1917547,21288
18113,40332 47766 3107
422051,28424 22935 28985 18234 41678 42585 28250 47209 21872 13176
3380822,2120 14233 21927
825986,16797 15902 22695 4656 12980 40376 34234 8390 41290 24142 49622 36070 48109
1334507,41602 47766 23204 26924 37940 31683 5077 8536 27102 30183 31216 31091 15860 13944 32762 43263
2857490,21903 32927 27966 8518 39275 35951 13176
912310,18465
307143,47626 49683 18465 39475 27730 8277 18027 43122 21137 20754 38164 28985 25931 13176 17789 13740
2343550,43014 21903 4942
977808,44632 4210 21137
2298851,21386 15902 45603 14126 48559 46676 4698 26209
1377070,47626 29307 44683 20809 22963
1138234,17154 389 38849 9810 26839 46049 48246
1067908,14636 6111
235789,5258 9535
3112593,37215 23909
3261182,22935 26324 43772
917864,3873 32691 26172 36691
3302795,21137
544889,35336 24852 35221 47639 7963 25146 13249 27086 7412
14817,5918 26587 36591
995122,34335 4138 24631 25272
658852,32714 38928 37687
2999536,17207 5337 32478 33768 13176
1151839,403 24852 25204
1103486,21938
412133,12935 35504 24852 45346
1898121,26088 32455 45004 21292 26348 37710 49235 13914
3063004,6184 16974 15541 12341
1703133,6774 46720 19125
3061961,44152
3339861,46676 24852 16793 11688
1073265,47626 48679 26209 24810 26369 24838 28934 24852 27966 7021
3106959,26165
2546776,35221 16797 28373
2991602,45066 21137 22825
3221782,25363 1689 23341 21330 32605 35042 23785 44142 46201
1011297,22935 25931 34126 45007
1520586,21137 4781 29487 38739 39275 46059 26604
3377720,17419 27966 27730 13176
913397,24852 19057
1301634,4142 49235 32864 42091 27845 13176 21903
781578,21137 13259 37710 32478
526421,28934 22035 25890 44987 22089
40070,27845
1122524,196 49235
3307750,21386 29370
3072395,47626 47766 7969
1448063,17794 45066 24852 47766 17948 5161 34358 39928 36550 6238 18811
1304479,32665 28849 23634 37724 23919 30450
2222025,23322 48287 9124 17224 34262
583891,14881 21903 24852
1560567,47660 4210 8898 9175 47611
1952709,8859 9068 12013 14063 47990
2477100,16396 47209 24964 22935 27142 14881 23165 29310 21137 35530 13176 48127 15462 29871 36070 34065 26084 38383 26209 46720 5876 8174
2962049,49683 48199 790
1919322,5876
2509434,36865 3457 28985 25931 47209 44910 19057 13176
3246106,30849 8204 24721 24852 47766 22935 16797 3512 27323 4942 23644 34668 32239 24184
1887165,18253 47842
2733997,12427 32689 196
2244940,12817 19495 20769 43814 21351 35695 43409 33198 22959 30183 6128
1969261,38689 26914 10804 41212
3212682,17794 47626 21903 49683 24852 10017 2086 28204 45007 8021 28156
1412630,38273 27695 21709 22888
279090,40706
2534805,18838 16797 37687 39108 32455 30162 10326 43352 9189 13032 39275 19691 9585 13176
263089,14999 9387 24852 24954 6052 15290 49610 41950
3358926,13984 47626 7916 21903 21616 10385 20015 9076 43768
1200207,12986
491363,196 10984 34217 11821 26863 36696
712585,11422 47141 24759 42460 25330
747352,21288 32478
2785463,49414 13575 8843 196 37710 11759
1516308,24852 26558
2720462,4149
2481125,33198 10089
1505169,39180 22035 24852 17706 2611 13646 21614
2214673,34862 38608 45313 24347 1379 45954 28553 24985 45009 24041 24561 42495
2391741,17871 35168 26856 21616
2875779,47626 24925
1937241,33043
3111365,40706 41220 10246 16398 13457 49683 5025 35503 21938 3397 37067 19660 35921 7264 42342
489189,47616 8193 2051 23079 47167 42564 28745 27730 36976 17021 47766 33467 1215 30941 35548 47866 24852 4920 34134 9076 39299 33674
792330,16234
1711925,38453 27730 39097 27845 24852 30489 7452 21903 48058 39928
967626,7781 21137 2298 11520 24852 36127 37158
1284059,16398 45603 8277 21841 1402 48559
1841472,45346 38750 13176
890200,40795 33198
1563765,47626 26209 13409 35948 24184 43662 47766 38164 16185 8518 15290 31717
3309393,18531 12395 19057 651 27845 6347 33731 6104
288658,33452 32156
1068037,24852 10580
1613532,46149
211267,47626 18465 48679 44632 7781 35951 19057 4210 9339 37524 47766 24852 7021 10096 5491 49044 45007 30192 39928
3052173,21137 21288 14161 43352 39275
2581727,32134 10246 21903 24852 36127 24489 30391 11576 1468 39877 46802 48104 10476 21616 43122 5876
1556549,11520 35939 13176
987145,17027 44560 48679 25138 47209 26604
1844839,47626 30776 38837 39408
2700123,45570 21903 21137 11950 18095 36036 27845 26201 10337 49510 17131 3952 41842 13176 19322
848283,14947 24024 8277 13176
519140,37508 31981 24852 39275 10749
778947,31717
635541,11440 9405 27086 18389 5479 11512
2863172,41618 13716 24852 19604 43693 20156 1090 24010 33357 27344 10078 43377 43772
3062074,1 21572 13575 13176 45051
192719,24347
1376351,35951
1370372,8073 8501 37190
1676258,18465 18389
656396,16908 12341 6740 44632 9339 39040 22220 22227 24852 2326 32655 43961
2726684,27966 21009 24852 7131 10172
3123103,24852 16797 11844 27086 4562 40571
8363,24964 48775 42265 46260 32828 42585 8927
1778015,37766 24852 36011 13740 27845 4600 9595
1987854,45066 37938 31404 17638 3819 24830 21267 24852 17191 40396 49628 32740 26620
2514756,7054 24852 5450 5077 43234 8053
766247,30233 8277 5785 27966 21903
395026,32655 35221 47766 16797 23233
1243440,32478 14078
827625,32052 4790 14141 48835 27845 13394 41588 39166
888027,1 10509 6184 27839 37710 37980 46562 23016 14444 13176
3318056,38164 42445
1949086,21903 34969 14233 6948 37158 22963 25659 35782 47209 13176
1531707,12140
2876773,30742 12315 36944 21616 6873 28985 34126 10080 21449 31717
1823382,45066 21903 24852 36011
2908457,32655 24721 40997 29921
2386746,22666 6366 3473
2924862,44632
681913,5652 34969 27845 37067 19660 40706 20876 4605
1484897,34050 24852 33690
1355695,43394 26629 41990 21137 40469 24852 15902 14240 28204 48186 46906 39363 32864 7781 36724
2327501,5450
2615195,11777 49215 4778 34027 40174 40216 15290 30169 10749
1930476,39180 29077 30252 45368 5450 42450 44632 9444 5876 7413
2375456,24852 39275
3341925,35561 35951
630145,15772 16974
2662615,47626 24852
503085,23835 11937 4799 21709
1828558,16797 21288 43352 13176 8571
3062610,48099
1756466,28920
2265504,44632 20119 21709 24852 43295 20269 32579 21376 35221
2756799,13176
850065,47626 47630 17949 26209 24235 46802 23794 17652 35108 28553 35221 14778 49131 23537 35321
881345,26497 45066 24852 47766 27966 26209
1222202,28745 27966 33120 41842 21903 16797 32170
1194995,21903 45223 25138 11193 39275 17902 19057
1516882,42342 8138 13176 27705
3419574,35527
1658737,27750 5785 13984 5876 27966 20842 21903
820449,7054 14867 30489 9839 36724
297131,11777 21903
1176648,13575 12341 15541 33081 43352 39275 26604
1080612,21616 35045 42803 4945 13176 21903 1940
1061897,13966 30387 196 43967
532252,196
1242386,47766 5876
678235,23693 1688 39646 47329 23909
702235,21137
1291970,22089 20309 8022
308264,44560 25623 13870 18523 47209 6287 21137 5785 9372 7350 31927 29370 15050 5876 22825 18232 27966 30561 13176 46979 32655 21903 43961 12745 49111 31720
1098337,141 30233 4274 4920 29117 28745 4461 4472 40063
1472331,11009 46979 8073 28427 49683 24852 3999 10403 22699 14381 17600 5450 38371
1678375,18023 6184 21137
2846957,15693
1763504,12341
774160,43470
104318,21137 24852 3765 40174
2392155,12606 11894
1531618,26209 4193 47209 34969 27845 41220 42265 9020 5456 13176 9623 21938 1468
1197395,35504
3045030,22849
1362848,24852 48681 12210
2662608,32534 23909
1191837,43635 47734 27845 48364 3376 13176
3022429,47626 43662 40723 24852 28985 20842
8188,24964 3599 21903 49683 30492 27845 24184 45007 33000 13176
1587523,31915 20039
1150654,47626 35383 35914 47209 17530 21137 37011 31915 26283 13488 34993 28862 4799 27344 19154 5334 47325 11512 43772 38164 39203 22832 46906 27966 29506 48453 23375 49488 49519 13176 20345 7559 12703 33198 24518 1999 17878 46049 31215
2854796,22151 41362 8884 22071 49247 9075
1559507,13259
3348685,1158
1372067,34448
3366084,32478
306259,10753 287 26836
1490258,47626 20144 35536 12606 23375 16213
1543051,11784 16589 13176 33198
520685,47630 18465 33352 23650 21137 37067 17628 19691 2966 33754 33787
213822,42265 7131 3298 35561 39534 39922 13176
746260,49030 38563 9387 17617
2055514,47766 16797 22124
227884,36392 15424 24852 32689
2037257,21288 25588 13176
604986,24852 17122
334377,45066 7781 21137 47766 42265 8518 13176 48559
2531119,30849 45954 7069 14651 5077 40310
3109135,4294
1876410,20940 16797
3020895,24852
255859,20876 11543 16167 30639 34993 11512 45123 40910 46681 4314 49247 23804
928627,19660
3023648,21903 8859 37687 30169 8174 13176
1503751,20738 30499 36550 49235 2078
973054,21903 48679 28199 36011 27730 47209 13176
2045272,277 46651 9932 23020 5750 45176
1611034,44142 24852 17279
1440294,27744 46979 32134 21903
843375,32403 13977
443872,46088 12817 21573 2120 36425 41131 26396 34619 350 10613 4493
2346070,24852 22677 8239 28985 39275 40186
1812624,46676 19057 36070 3819 24838 27966 38739 49520 22963
516431,15902 6948 34430
2190129,30726 45066 49683 41557 5744 29307 18110 45761 6348 3298 24372 19348 26040 34234 27086 28156
3099915,26604
2585859,17949 37947 5258 21137 30949 25340 24852 26915 22825 27966 25965 39794 46979 37766 21903 12745 9689 11737 27104
663064,9292 5785 20915
1628123,25544
714813,35921
2362483,42579 20632 37067 27864 40174 43772 11520 24838 27451 27966 33120 46979 5077 27104
421861,31299 49235 5750 14999 34969 5794 48366 28448 23339 42828 3919 9076 13176 18818 8174 15866
651234,17988 19057 3717 20113 40709 7963 48415 35163 34668 13166 13176 42944 39877 45544
443880,28289 34197 8627 14947 13176
2911077,28626 12606
2894503,19057 2748
18531,34321 24852 8474 23341 27841 37065 459 4210
330274,40706 20995 46979 24489 27966 27104 47209 5876 39928 10749
2466465,21903 34197 3896 9839
2969343,21137 24852
2755113,49083 31805 13042
2936120,24838 45200 21137 22935 20632 42265 13609 11182 1463 27966 19019 38108 41950 26209 31717 47209 3957 43768 10749 7806
1950741,27662 26168 37067 19677 25824 30489 812 5450 27521 11182 43961 18362 42445
707009,21616 37646 24964 32655 42445
497684,14645 27086 18394 33000
2154816,22035 21137 27845 38689 13176 33754
604109,18059 1940 28204 432
462804,16642 14734 19154 13176 1919
871787,35221 27325 21709 28123 26209
